,SCAPN,SCSitus_NumNam,PropID,Star_rating,City,State,Zip,County,For_sale_price,For_sale_status,Land_area,Num_units,Cap_rate,Vacancy_%,Avg_unit_sqft,Avg_Concession_%,Parking_per_unit,Days_on_mkt,Amenities,Year_built,Year_reno,Last_sale_date,Last_sale_price,Transit_dist_mile,Transit_walk_time_min,Const_material,Num_studio,Studio_rent_sqft,Studio_avg_sqft,Studio_concession_%,Studio_vacancy_%,Num_1_bed,1_bed_rent_sqft,1_bed_avg_sqft,1_bed_concession_%,1_bed_vacancy_%,Num_2_bed,2_bed_rent_sqft,2_bed_avg_sqft,2_bed_concession_%,2_bed_vacancy_%,Num_3_bed,3_bed_rent_sqft,3_bed_avg_sqft,3_bed_concession_%,3_bed_vacancy_%,Num_4_bed,4_bed_rent_sqft,4_bed_avg_sqft,4_bed_concession_%,4_bed_vacancy_%,2010_Avg_age,2019_Avg_age,2019_Pop_25_39,2024_Avg_age,2024_Pop_25_39
33,TX Kaufman 7663,TX Kaufman1300 Adelaide St,P10602,3,Terrell,TX,751604831,Kaufman,,N,6.38,107,,10.28,739.0,1.0,1.168,,"Controlled Access, Fenced Lot, Laundry Facilities, Picnic Area, Playground, Property Manager on Site, Security System, Gated",1967.0,2012.0,03/17/17,,,,Masonry,,,,,,38.0,1.22,542.0,1.0,10.5,40.0,1.01,772.0,1.0,10.0,28.0,0.92,948.0,1.0,10.7,1.0,0.9,1050.0,1.0,0.0,37.7,38.9,1359.0,39.1,1523.0
34,TX Nueces 501000000021,TX Nueces523 Airline Rd,P10603,3,Corpus Christi,TX,78412    ,Nueces,,N,3.725,102,,9.8,876.0,1.0,0.98,,"Clubhouse, Fitness Center, Laundry Facilities, Picnic Area, Gated, Grill",1967.0,,09/08/15,"9,300,000",13.22,,Masonry,8.0,1.55,448.0,1.0,12.5,42.0,1.22,676.0,1.0,9.5,40.0,1.1,1010.0,1.0,10.0,12.0,1.03,1410.0,0.9,8.3,,,,,,39.0,38.7,2786.0,39.2,2743.0
35,TX Dallas 00000132988000000,TX Dallas1919 Akard St,P10604,4,Dallas,TX,75215,Dallas,,N,1.24,102,,6.86,789.0,0.8,,,"Controlled Access, Fenced Lot, Property Manager on Site, Security System, Gated, Package Service, Planned Social Activities, Recycling, Smoke Free, Trash Pickup - Door to Door, Community-Wide WiFi, Elevator, Pet Washing Station, Public Transportation",2017.0,,03/01/19,,0.39,8.0,Wood Frame,,,,,,82.0,1.69,725.0,0.8,7.3,20.0,1.64,1050.0,0.8,5.0,,,,,,,,,,,36.6,37.6,2643.0,39.3,2144.0
36,TX El Paso Y805-999-0270-1639,TX El Paso7696 Alameda Ave,P10605,2,El Paso,TX,79915,El Paso,,N,3.662,102,,0.0,666.0,0.5,,,"24 Hour Access, Laundry Facilities, Pool, Laundry Service",1979.0,,,,9.92,,,,,,,,52.0,1.02,600.0,0.2,0.0,50.0,0.9,735.0,0.2,0.0,,,,,,,,,,,36.2,36.6,2733.0,37.0,2977.0
37,TX Hockley R14530,TX Hockley1002 Alamo Rd,P10606,3,Levelland,TX,79336,Hockley,,N,,100,,,1052.0,0.3,,,,2015.0,,,,,,,,,,,,,,,,,50.0,0.63,972.0,0.3,0.0,50.0,0.62,1131.0,0.3,0.0,,,,,,35.3,34.8,714.0,35.5,720.0
38,TX Harris 0650710930003,TX Harris13925 Alderson St,P10607,2,Houston,TX,77015    ,Harris,,N,1.204,106,,2.83,657.0,0.5,1.151,,,1979.0,,09/26/14,,16.6,,Wood Frame,,,,,,67.0,1.11,620.0,0.5,3.0,39.0,1.15,720.0,0.5,2.6,,,,,,,,,,,30.8,32.5,6519.0,34.0,6684.0
39,TX El Paso C622-999-0030-5100,TX El Paso208 Alicia Dr,P10608,2,El Paso,TX,799053966,El Paso,,N,0.4789,104,,5.77,888.0,0.0,0.0,,,1951.0,,,,10.56,,Masonry,,,,,,50.0,,662.0,,6.0,29.0,,938.0,,6.9,25.0,,1280.0,,4.0,,,,,,38.6,37.2,3009.0,37.3,3492.0
40,TX Potter R-086-1490-9860-0,TX Potter5781 Amarillo Blvd,P10609,3,Amarillo,TX,79106,Potter,,N,18.934,101,,36.63,878.0,5.6,,,"Business Center, Clubhouse, Courtyard, Fitness Center, Laundry Facilities, Cabana, Media Center/Movie Theatre, Walking/Biking Trails, Elevator",2019.0,,,,14.54,,,,,,,,39.0,0.44,699.0,5.6,35.9,62.0,0.37,990.0,5.6,37.1,,,,,,,,,,,41.5,40.1,1408.0,40.3,1254.0
41,TX Travis 240126,TX Travis2101 Anderson Ln,P10610,2,Austin,TX,787571286,Travis,,N,3.5657,104,,6.73,657.0,0.8,1.298,,"24 Hour Access, Business Center, Clubhouse, Laundry Facilities, Pool, Recycling",1984.0,,04/24/15,,5.19,,Wood Frame,,,,,,78.0,1.79,600.0,0.8,6.4,26.0,1.48,828.0,0.8,7.7,,,,,,,,,,,37.6,38.4,7461.0,39.2,6792.0
42,TX Hidalgo T0945-19-000-0001-00,TX Hidalgo 3201-3309 Anita St,P10611,2,Mission,TX,785736780,Hidalgo,,N,,100,,,960.0,0.3,,,,,,09/07/18,,11.88,,,,,,,,25.0,0.68,750.0,0.3,0.0,35.0,0.63,878.0,0.3,0.0,40.0,0.67,1162.0,0.3,0.0,,,,,,26.3,28.4,2316.0,30.5,2462.0
43,TX Travis 03080602040000,TX Travis2501 Anken Dr,P10612,2,Austin,TX,78741,Travis,,N,6.23,100,,4.0,768.0,0.6,2.0,,,1983.0,,07/25/18,,3.46,,Wood Frame,,,,,,36.0,1.38,573.0,0.7,5.6,44.0,1.24,808.0,0.5,2.3,20.0,1.22,1031.0,0.7,5.0,,,,,,28.1,30.8,13203.0,32.5,11813.0
44,TX Dallas 00000468865000000,TX Dallas2311 Anzio Dr,P10613,3,Dallas,TX,752242747,Dallas,,N,2.2658,106,,,814.0,0.2,2.075,,Clubhouse,1947.0,,01/12/18,,14.89,,Wood Frame,,,,,,,,,,,106.0,1.15,814.0,0.2,0.0,,,,,,,,,,,31.2,32.8,4895.0,34.1,5027.0
45,TX Dallas 42199820010010000,TX Dallas714 Arapaho Rd,P10614,3,Richardson,TX,750804162,Dallas,,N,3.66,103,,5.83,795.0,0.6,0.0,,,1996.0,,12/24/13,,15.26,,,33.0,3.31,537.0,0.6,6.1,36.0,3.96,753.0,0.6,5.6,34.0,3.22,1089.0,0.6,5.9,,,,,,,,,,,42.7,40.7,2831.0,40.9,2807.0
46,TX Bexar 04050-004-0030,TX Bexar101 Arcadia Pl,P10615,2,San Antonio,TX,78209    ,Bexar,,N,1.89,106,,5.66,931.0,0.7,1.462,,"Laundry Facilities, Laundry Service",1973.0,,,,4.05,,Wood Frame,10.0,1.48,465.0,1.0,10.0,41.0,1.22,648.0,0.6,4.9,45.0,0.96,1168.0,0.6,4.4,10.0,1.01,1497.0,1.0,10.0,,,,,,40.1,41.4,2361.0,41.7,2673.0
